Peso
77
87
54
102
62
50
57
80
98
42
87
82
80
48
53
64
54
59
51
78
59
71
76
110
63
105
95
88
50
79
96
86
58
58
78
65
62
55
60
55
63
63
80
47
27
43
60
65
85
